epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,388.092,1.35715,1.96589,1.6159,0.68328,0.61806,0.66854,0.28517,1.93423,2.65629,2.91091,0.000659722,0.000659722,0.000659722
2,804.916,1.30459,1.46983,1.55513,0.38192,0.22917,0.2493,0.10069,2.32783,4.91355,3.1602,0.00131326,0.00131326,0.00131326
3,1205.72,1.28533,1.24139,1.52696,0.1646,0.22222,0.08139,0.01971,4.40701,2.91689,5.56046,0.00195359,0.00195359,0.00195359
4,1605.14,1.26073,1.06865,1.49359,0.16801,0.14583,0.08559,0.01609,3.77716,4.03868,5.36221,0.0019406,0.0019406,0.0019406
5,1995.07,1.23369,1.01333,1.46828,0.83373,0.77083,0.85623,0.43845,1.57162,1.14979,2.14928,0.0019208,0.0019208,0.0019208
6,2364.04,1.20621,0.99234,1.46367,0.5662,0.625,0.63012,0.25141,1.86033,1.49536,2.49599,0.001901,0.001901,0.001901
7,2714.14,1.18909,0.92731,1.44467,0.75414,0.80946,0.79284,0.33763,1.89387,1.1485,2.38147,0.0018812,0.0018812,0.0018812
8,3057.76,1.16873,0.89517,1.42096,0.66448,0.75,0.67636,0.27077,1.92199,1.30775,2.43025,0.0018614,0.0018614,0.0018614
9,3404.83,1.1326,0.86808,1.41397,0.84822,0.79861,0.83086,0.25519,2.38932,1.13243,3.05945,0.0018416,0.0018416,0.0018416
10,3765.01,1.11869,0.83809,1.39747,0.78408,0.81944,0.85423,0.44776,1.42988,1.07568,1.93636,0.0018218,0.0018218,0.0018218
11,4176.84,1.11369,0.83701,1.40909,0.73481,0.76389,0.76803,0.2931,1.89996,1.31909,2.29147,0.001802,0.001802,0.001802
12,4524.53,1.10298,0.80912,1.38332,0.6848,0.76389,0.72376,0.30986,1.72172,1.27198,2.22603,0.0017822,0.0017822,0.0017822
13,4890.28,1.05479,0.75747,1.36473,0.81771,0.84108,0.86547,0.48231,1.42303,1.01728,1.90709,0.0017624,0.0017624,0.0017624
14,5326.05,1.06656,0.76454,1.37503,0.60658,0.71739,0.65521,0.19882,2.34416,1.57644,2.72918,0.0017426,0.0017426,0.0017426
15,5751.7,1.09788,0.74712,1.37918,0.24398,0.5625,0.36465,0.16938,2.29103,3.22218,2.6736,0.0017228,0.0017228,0.0017228
16,6105.61,1.08932,0.7699,1.37095,0.64102,0.66667,0.65344,0.25789,1.97646,1.38529,2.5461,0.001703,0.001703,0.001703
17,6456.88,1.06216,0.75056,1.35511,0.82827,0.83738,0.90036,0.46789,1.40295,1.04717,1.91425,0.0016832,0.0016832,0.0016832
18,6808.93,1.04028,0.73676,1.33787,0.66114,0.69103,0.7246,0.21948,2.4509,1.26741,2.69275,0.0016634,0.0016634,0.0016634
19,7160.27,1.03116,0.73516,1.33894,0.49017,0.625,0.57689,0.14299,2.65568,1.58,2.99201,0.0016436,0.0016436,0.0016436
20,7511.98,1.02517,0.71496,1.33895,0.7671,0.8463,0.82871,0.42863,1.52422,1.06177,1.97522,0.0016238,0.0016238,0.0016238
21,7866.51,1.02753,0.71633,1.33025,0.51741,0.72222,0.58483,0.27249,1.80695,3.10872,2.11983,0.001604,0.001604,0.001604
22,8219.34,1.02577,0.71188,1.34023,0.06244,0.42361,0.04877,0.00941,4.07785,3.72941,4.99857,0.0015842,0.0015842,0.0015842
23,8573.79,1.03161,0.70978,1.33537,0.70492,0.66359,0.75845,0.23476,2.27381,1.29784,2.70573,0.0015644,0.0015644,0.0015644
